name,owner,url,stargazerCount,mergedPr,closedPr
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,343504,16975,12172
996.ICU,996icu,https://github.com/996icu/996.ICU,261651,1063,864
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,229646,4364,1621
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,215865,291,441
awesome,sindresorhus,https://github.com/sindresorhus/awesome,195947,570,1173
vue,vuejs,https://github.com/vuejs/vue,194709,1071,864
developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,190864,244,180
public-apis,public-apis,https://github.com/public-apis/public-apis,187702,1871,817
react,facebook,https://github.com/facebook/react,185830,8198,3625
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,170997,190,72
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,164062,14321,6210
bootstrap,twbs,https://github.com/twbs/bootstrap,156255,7514,5801
You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,151604,352,454
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,148879,375,155
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,143170,2668,3341
flutter,flutter,https://github.com/flutter/flutter,138639,24221,9566
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,138435,266,160
build-your-own-x,danistefanovic,https://github.com/danistefanovic/build-your-own-x,137375,86,60
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,134100,1815,2968
gitignore,github,https://github.com/github/gitignore,131456,1521,2202
vscode,microsoft,https://github.com/microsoft/vscode,129807,8523,2904
linux,torvalds,https://github.com/torvalds/linux,129804,9,436
awesome-python,vinta,https://github.com/vinta/awesome-python,122302,526,877
javascript,airbnb,https://github.com/airbnb/javascript,121629,777,525
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,119769,649,218
Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days,116704,12,94
computer-science,ossu,https://github.com/ossu/computer-science,111119,208,134
youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,108266,1559,2224
the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,104737,303,130
fucking-algorithm,labuladong,https://github.com/labuladong/fucking-algorithm,104566,205,179
react-native,facebook,https://github.com/facebook/react-native,101999,628,9691
